date,open,high,low,close,volume,amount,rsi_14,macd_dif,macd_dea,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,atr_14
2025-12-08,70.2,72.9,70.15,71.8,69233641.0,4987910867.0,51.36597646945648,-1.2068414352378198,-1.384979480004884,0.17813804476706419,70.795,75.8783991942807,65.7116008057193,0.14360898917383152,3.4115332801386957
2025-12-09,70.6,71.0,68.45,68.85,66229434.0,4607931833.0,44.660231669681785,-1.2100895321626695,-1.3500014904364412,0.13991195827377179,70.60499999999999,75.6805243441849,65.52947565581508,0.14377237714566712,3.4071380458430744
2025-12-10,69.3,69.35,67.2,68.7,44357583.0,3008830804.0,44.343236396460696,-1.2108099553127545,-1.322163183411704,0.11135322809894954,70.3775,75.36089083461442,65.39410916538557,0.14161886496719622,3.3173424711399973
2025-12-11,69.0,69.25,66.55,67.15,49462751.0,3336579001.0,41.097090645626615,-1.321222709002285,-1.3219750885298203,0.0007523795275352629,69.95500000000001,74.48639922621715,65.42360077378288,0.12955183264147327,3.2732465803442836
2025-12-12,67.6,68.65,65.35,67.7,59855565.0,4013006713.0,42.70000704400571,-1.348797114781803,-1.327339493780217,-0.02145762100158599,69.665,73.97827205140906,65.35172794859095,0.12382895432165528,3.2751575388911216
2025-12-15,68.0,68.0,64.45,64.7,67089126.0,4402278480.0,36.815056170447434,-1.5943463259790605,-1.3807408602199858,-0.2136054657590747,69.2525,73.81383348461692,64.69116651538307,0.13173050747964113,3.2947891432560414
2025-12-16,64.5,65.15,62.0,63.45,64784997.0,4081880316.0,34.670913772055016,-1.8682740974187482,-1.4782475076597383,-0.39002658975900983,68.725,73.41300260463296,64.03699739536702,0.13642786772304025,3.284447061594896
2025-12-17,63.05,65.2,63.05,64.75,40298935.0,2593098164.0,38.67136931093558,-1.9578952961544758,-1.574177065358686,-0.3837182307957898,68.3125,72.86660456852339,63.75839543147661,0.13333151527241394,3.2034151286238326
2025-12-18,64.0,65.6,63.65,64.7,39415584.0,2550990720.0,38.573532202417674,-2.0097877419314187,-1.6612992006732326,-0.3484885412581862,67.8725,71.99643207866798,63.748567921332025,0.12151996990439358,3.1138854765792727
2025-12-19,65.45,66.15,64.8,65.05,39163474.0,2561376268.0,39.72313403057401,-1.9996204246121323,-1.7289634454610125,-0.27065697915111975,67.685,71.96925514007468,63.400744859925325,0.12659393189258114,2.995036513966468
2025-12-22,66.0,70.45,65.95,68.9,91315684.0,6275741564.0,50.66155697542169,-1.6617443734404844,-1.715519631056907,0.053775257616422545,67.72749999999999,72.04374532252322,63.41125467747676,0.12745916570147223,3.1668196201117205
2025-12-23,69.5,70.35,68.3,68.9,49966498.0,3462248497.0,50.66155697542169,-1.378089411714086,-1.648033587188343,0.26994417547425686,67.775,72.12235249136802,63.42764750863199,0.12828779022849174,3.08704679010374
2025-12-24,70.35,72.5,70.35,71.05,69359801.0,4956364778.0,55.85047896755849,-0.9686379241881156,-1.5121544545882974,0.5435165304001819,67.885,72.4526321171793,63.317367882820704,0.13456970220753628,3.1236863050963297
2025-12-29,71.5,73.7,69.55,69.55,77352135.0,5539644531.0,51.76044263847964,-0.7564621100388393,-1.3610159856784059,0.6045538756395665,67.94500000000001,72.56952273497589,63.32047726502412,0.13612547604609276,3.1969944261608783
2025-12-30,71.5,73.15,70.45,72.5,93554254.0,6743620823.0,58.23781568428146,-0.3462792116593363,-1.158068630874592,0.8117894192152557,68.13000000000001,73.17541480220495,63.08458519779506,0.14811139886114627,3.225780538577959
2025-12-31,72.9,73.45,71.2,71.45,33185970.0,2398272191.0,55.38708574471971,-0.10472532590149797,-0.9473999698799732,0.8426746439784752,68.23,73.46142327418431,62.9985767258157,0.15334671769556807,3.1560819286795336
2026-01-02,71.45,75.4,70.8,75.1,40669802.0,3029361268.0,62.296226842686664,0.3768878361697574,-0.6825424086700271,1.0594302448397845,68.5525,74.62118363425087,62.48381636574912,0.1770521464352394,3.2592189337738535
2026-01-05,75.8,78.3,75.05,76.5,129977658.0,9955751452.0,64.56315801720203,0.8616059792606876,-0.3737127310838842,1.2353187103445717,69.0175,76.00540496425548,62.029595035744514,0.20249661214200693,3.2585604385042926
2026-01-06,77.0,78.9,75.4,75.6,100574288.0,7747964894.0,61.98311996591185,1.159757162830374,-0.06701875230103256,1.2267759151314066,69.30749999999999,76.88838142354749,61.7266185764525,0.21876078125881018,3.2758061214682717
2026-01-07,76.4,76.7,73.7,74.7,98807996.0,7393201282.0,59.425709687383005,1.3083399173327734,0.20805298162572863,1.1002869357070448,69.55499999999999,77.51066001760897,61.599339982391015,0.2287588244586005,3.2561056842205383
2026-01-08,74.6,77.45,74.1,74.95,92810803.0,7054325352.0,59.92039901966073,1.429784070662791,0.4523991994331411,0.9773848712296498,69.7125,77.9741345394329,61.450865460567115,0.23702017685301457,3.262812421061929
2026-01-09,75.5,76.25,73.5,74.4,71074224.0,5292258826.0,58.23812641800043,1.4647641444038157,0.6548721884272761,0.8098919559765396,69.99000000000001,78.49879421230536,61.48120578769466,0.24314314080026705,3.2261829624146485
2026-01-12,74.5,75.5,73.35,75.3,64618788.0,4811958827.0,60.20689213219639,1.5472725879968863,0.8333522683411981,0.7139203196556881,70.32000000000001,79.12492685046831,61.5150731495317,0.2504245406845365,3.1493127508136025
2026-01-13,75.2,76.15,73.25,74.45,69713451.0,5190603701.0,57.45214699067274,1.5264769516325174,0.971977204999462,0.5544997466330553,70.685,79.54170129871892,61.82829870128109,0.2505963443083798,3.13150469718406
2026-01-14,74.6,76.45,74.15,75.95,80458547.0,6069374666.0,60.85590365438623,1.6124464450606268,1.100071053011695,0.5123753920489318,71.0975,80.13545942269648,62.059540577303515,0.2542412721318326,3.0721115045280554
2026-01-15,75.5,78.4,74.95,77.35,72736228.0,5574170845.0,63.76917251940988,1.7731069148967862,1.2346782253887134,0.5384286895080728,71.73,80.65267366113713,62.80732633886288,0.24878498985465286,3.0991035399189086
2026-01-16,78.8,79.7,77.6,79.2,88248919.0,6964284811.0,67.23894176679404,2.0263525033450946,1.3930130809799897,0.633339422365105,72.51750000000001,81.13823845902657,63.89676154097346,0.2377560853318593,3.045596144210416
2026-01-19,79.2,80.1,77.0,77.0,52927092.0,4128915754.0,59.89320246140163,2.0261733774473782,1.5196451402734674,0.5065282371739108,73.13000000000001,81.14658806541277,65.11341193458725,0.2192421185672846,3.0494821339096716
